3	3
2	2
7	7
4	4
18	16
2	2
81	32
11	10
5	5
13	12
1	1
14	13
1	1
31	23
14	14
8	7
15	15
48	27
10	8
71	30
26	20
7	7
17	17
7	7
43	28
66	31
9	9
6	5
1	1
5	5
5	5
3	3
1	1
26	23
1	1
21	18
2	2
28	19
4	4
1	1
18	16
3	3
31	22
5	5
6	6
1	1
5	5
9	8
71	27
9	8
48	28
1	1
3	3
6	5
8	8
15	15
5	5
2	2
22	17
45	33
37	25
16	14
2	2
33	25
8	7
7	5
3	3
4	4
6	6
2	2
34	21
29	23
14	13
5	5
26	21
1	1
18	17
80	33
13	12
10	9
17	15
8	8
16	14
37	25
5	5
35	24
40	28
16	14
3	3
20	19
29	24
87	29
5	5
14	12
2	2
170	17
26	20
4	4
5	5
11	11
8	8
4	4
15	15
23	19
13	12
18	15
53	34
1	1
2	2
1	1
4	4
4	4
15	14
10	9
13	12
15	14
16	13
72	27
40	27
46	29
158	17
2	2
4	4
8	7
15	12
2	2
91	32
7	6
1	1
13	12
4	4
39	25
1	1
5	4
11	11
5	5
4	4
459	0
4	4
2	2
2	2
6	6
5	5
4	3
19	18
47	28
7	7
23	18
15	14
54	32
29	24
11	11
67	31
30	20
28	22
16	12
1	1
69	27
10	9
10	9
4	4
17	12
219	10
66	34
17	14
14	12
13	13
5	5
4	4
2	2
3	3
2	2
15	13
67	35
53	28
2	2
29	25
105	28
30	23
5	5
3	2
4	4
4	4
113	24
124	31
9	7
7	6
128	20
95	26
4	4
3	3
65	30
22	20
6	6
2	2
92	32
185	19
3	3
10	10
41	29
33	27
119	27
70	27
70	33
2	2
6	6
5	5
18	17
3	3
9	8
114	28
36	22
11	9
2	2
9	8
18	16
7	6
6	6
2	2
3	3
40	31
3	3
3	3
68	34
10	10
47	33
9	9
45	29
29	20
26	20
25	20
18	17
10	10
2	2
13	13
25	19
10	9
13	13
3	3
7	7
5	5
71	37
8	7
17	16
10	9
60	31
36	21
1	1
3	3
1	1
112	32
179	12
49	29
13	11
81	33
1	1
15	14
84	34
5	5
26	19
67	33
36	24
4	4
4	4
100	28
2	2
70	39
30	23
1	1
8	8
43	29
8	8
4	4
40	34
16	12
5	5
3	3
22	19
5	5
3	3
21	16
1	1
5	5
37	27
55	31
32	22
47	32
20	16
149	20
22	17
60	28
132	25
15	15
22	19
3	3
240	3
135	22
24	17
70	38
22	17
39	31
29	17
56	33
185	12
24	21
1	1
1	1
37	26
21	18
60	32
40	30
13	11
21	17
8	7
7	5
30	19
2	2
3	3
2	2
76	37
57	40
8	8
14	12
9	8
22	16
9	6
1	1
14	13
11	10
9	9
18	17
139	17
105	29
2	2
231	5
80	32
1	1
87	32
12	11
1	1
1	1
2	2
6	6
17	17
28	24
106	35
10	10
145	23
2	2
4	4
36	31
158	15
65	37
41	30
1	1
24	22
8	8
51	28
101	25
42	31
9	8
143	21
24	21
9	9
30	24
6	6
19	16
3	3
9	9
48	29
18	18
2	2
21	16
53	29
34	26
5	5
11	10
1	1
6	5
33	25
57	30
12	10
33	24
35	27
1	1
1	1
7	7
58	30
4	4
66	29
54	29
25	17
66	31
3	3
65	30
73	32
4	3
2	2
25	23
19	16
4	4
35	21
5	5
92	36
3	3
7	7
53	30
129	28
131	20
103	28
16	14
88	29
16	15
5	5
35	29
67	38
100	32
48	31
165	15
36	23
123	26
60	30
52	37
12	12
258	1
59	28
57	34
32	24
9	9
68	35
20	15
2	2
5	4
2	2
11	9
14	13
23	19
107	33
109	32
16	14
78	33
10	10
45	32
19	18
21	17
38	25
9	9
343	0
45	30
3	3
26	22
15	12
16	14
4	4
37	25
3	3
3	3
4	4
9	9
2	2
12	10
7	6
11	11
59	34
42	28
7	7
143	23
123	26
126	18
123	18
11	9
39	29
55	25
1	1
1	1
4	4
6	6
120	17
80	28
9	8
16	12
100	27
17	17
65	34
30	19
84	37
39	30
10	10
1	1
5	5
9	9
7	7
1	1
14	13
24	18
82	26
42	23
5	5
20	17
8	7
47	25
4	4
5	5
1	1
21	19
13	13
23	19
10	9
8	6
3	3
9	9
281	2
2	1
134	15
77	39
2	2
14	12
5	5
134	21
20	13
70	37
18	16
10	9
7	7
23	19
12	11
20	16
8	7
6	5
114	32
30	20
24	21
85	29
108	38
3	3
120	28
23	18
10	10
2	2
32	24
15	15
1	1
2	2
16	15
22	18
2	2
21	20
6	6
7	7
2	2
2	2
129	24
33	26
3	3
12	10
8	8
8	7
10	9
9	9
50	27
17	16
8	8
5	5
29	19
5	5
47	28
16	15
2	2
84	31
14	11
30	23
13	12
110	20
50	30
26	20
13	12
3	3
5	5
5	5
4	4
3	3
8	8
46	25
13	12
7	7
3	3
1	1
22	20
13	12
36	22
1	1
1	1
5	5
129	21
2	2
8	8
33	28
90	22
29	24
16	16
105	26
1	1
6	6
4	4
41	32
13	13
10	8
82	29
11	9
3	3
4	4
13	13
46	33
132	27
307	0
95	33
1	0
147	18
14	12
13	11
34	21
8	8
178	20
13	12
15	14
9	8
129	31
2	2
4	4
32	27
68	34
17	15
4	4
3	3
15	13
5	5
9	9
10	8
8	7
39	20
9	9
8	7
11	10
10	10
5	5
4	4
1	1
8	8
7	7
1	1
36	25
113	36
5	5
15	13
7	7
31	28
5	5
3	3
54	27
8	8
13	11
125	22
36	23
11	11
12	12
69	30
6	4
3	3
8	6
32	19
23	17
7	7
24	18
4	4
26	22
12	11
5	5
7	7
76	38
8	8
12	12
19	18
8	7
4	4
49	26
6	6
2	2
4	4
1	1
89	37
22	19
88	28
55	27
108	35
79	34
59	36
13	13
94	26
3	3
3	3
2	2
20	18
10	9
1	1
1	1
2	2
2	2
7	7
8	7
1	1
2	2
74	37
8	8
6	6
4	4
22	17
3	3
17	13
5	5
15	15
3	3
8	8
188	12
3	3
37	27
9	8
2	2
2	1
19	18
33	29
4	4
33	28
67	39
45	28
3	3
4	4
52	32
29	25
23	21
3	3
25	20
5	5
27	24
21	18
44	24
56	32
132	25
17	11
112	22
66	37
71	36
91	32
12	11
24	21
14	10
22	18
39	26
132	29
56	30
16	13
32	26
10	10
2	2
2	2
7	7
12	10
68	32
7	7
6	6
12	11
40	25
57	33
7	7
147	21
38	28
103	33
20	18
52	35
13	9
71	41
65	34
142	16
27	20
114	25
43	25
1	1
121	20
9	8
3	3
2	2
7	7
14	13
3	3
101	33
49	26
6	6
118	27
57	29
8	8
8	8
13	11
15	14
42	29
22	20
8	7
29	22
44	32
5	5
8	7
7	7
35	27
17	15
86	24
105	28
40	27
13	12
32	23
