2	4316
45	4270
88	4225
131	4178
174	4130
217	4084
260	4039
303	3994
346	3950
389	3905
432	3859
475	3811
518	3761
561	3717
604	3671
647	3620
690	3575
733	3524
776	3478
819	3435
862	3382
905	3338
948	3291
991	3249
1034	3204
1077	3160
1120	3117
1163	3073
1206	3028
1249	2987
1292	2942
1335	2898
1378	2852
1421	2805
1464	2762
1507	2718
1550	2673
1593	2628
1636	2585
1679	2537
1722	2496
1765	2447
1808	2401
1851	2356
1894	2312
1937	2260
1980	2212
2023	2167
2066	2123
2109	2083
2152	2034
2195	1993
2238	1952
2281	1906
2324	1861
2367	1814
2410	1769
2453	1724
2496	1666
2539	1623
2582	1574
2625	1527
2668	1482
2711	1438
2754	1381
2797	1340
2840	1300
2883	1259
2926	1219
2969	1182
3012	1143
3055	1100
3098	1059
3141	1021
3184	979
3227	943
3270	897
3313	855
3356	814
3399	776
3442	734
3485	699
3528	658
3571	621
3614	580
3657	541
3700	502
3743	462
3786	420
3829	378
3872	325
3915	284
3958	242
4001	203
4044	171
4087	130
4130	84
4173	63
4216	13
4259	6
4302	1
